,学校数:高等:普通,学校数:高等:普通:北京,学校数:高等:普通:天津,学校数:高等:普通:河北,学校数:高等:普通:山西,学校数:高等:普通:内蒙古,学校数:高等:普通:辽宁,学校数:高等:普通:吉林,学校数:高等:普通:黑龙江,学校数:高等:普通:上海,学校数:高等:普通:江苏,学校数:高等:普通:浙江,学校数:高等:普通:安徽,学校数:高等:普通:福建,学校数:高等:普通:江西,学校数:高等:普通:山东,学校数:高等:普通:河南,学校数:高等:普通:湖北,学校数:高等:普通:湖南,学校数:高等:普通:广东,学校数:高等:普通:广西,学校数:高等:普通:海南,学校数:高等:普通:重庆,学校数:高等:普通:四川,学校数:高等:普通:贵州,学校数:高等:普通:云南,学校数:高等:普通:西藏,学校数:高等:普通:陕西,学校数:高等:普通:甘肃,学校数:高等:普通:青海,学校数:高等:普通:宁夏,学校数:高等:普通:新疆,学校数:中学:普通高中,学校数:中学:普通高中:北京,学校数:中学:普通高中:天津,学校数:中学:普通高中:河北,学校数:中学:普通高中:山西,学校数:中学:普通高中:内蒙古,学校数:中学:普通高中:辽宁,学校数:中学:普通高中:吉林,学校数:中学:普通高中:黑龙江,学校数:中学:普通高中:上海,学校数:中学:普通高中:江苏,学校数:中学:普通高中:浙江,学校数:中学:普通高中:安徽,学校数:中学:普通高中:福建,学校数:中学:普通高中:江西,学校数:中学:普通高中:山东,学校数:中学:普通高中:河南,学校数:中学:普通高中:湖北,学校数:中学:普通高中:湖南,学校数:中学:普通高中:广东,学校数:中学:普通高中:广西,学校数:中学:普通高中:海南,学校数:中学:普通高中:重庆,学校数:中学:普通高中:四川,学校数:中学:普通高中:贵州,学校数:中学:普通高中:云南,学校数:中学:普通高中:西藏,学校数:中学:普通高中:陕西,学校数:中学:普通高中:甘肃,学校数:中学:普通高中:青海,学校数:中学:普通高中:宁夏,学校数:中学:普通高中:新疆,学校数:中学:普通初中,学校数:中学:普通初中:北京,学校数:中学:普通初中:天津,学校数:中学:普通初中:河北,学校数:中学:普通初中:山西,学校数:中学:普通初中:内蒙古,学校数:中学:普通初中:辽宁,学校数:中学:普通初中:吉林,学校数:中学:普通初中:黑龙江,学校数:中学:普通初中:上海,学校数:中学:普通初中:江苏,学校数:中学:普通初中:浙江,学校数:中学:普通初中:安徽,学校数:中学:普通初中:福建,学校数:中学:普通初中:江西,学校数:中学:普通初中:山东,学校数:中学:普通初中:河南,学校数:中学:普通初中:湖北,学校数:中学:普通初中:湖南,学校数:中学:普通初中:广东,学校数:中学:普通初中:广西,学校数:中学:普通初中:海南,学校数:中学:普通初中:重庆,学校数:中学:普通初中:四川,学校数:中学:普通初中:贵州,学校数:中学:普通初中:云南,学校数:中学:普通初中:西藏,学校数:中学:普通初中:陕西,学校数:中学:普通初中:甘肃,学校数:中学:普通初中:青海,学校数:中学:普通初中:宁夏,学校数:中学:普通初中:新疆,学校数:小学,学校数:小学:北京,学校数:小学:天津,学校数:小学:河北,学校数:小学:山西,学校数:小学:内蒙古,学校数:小学:辽宁,学校数:小学:吉林,学校数:小学:黑龙江,学校数:小学:上海,学校数:小学:江苏,学校数:小学:浙江,学校数:小学:安徽,学校数:小学:福建,学校数:小学:江西,学校数:小学:山东,学校数:小学:河南,学校数:小学:湖北,学校数:小学:湖南,学校数:小学:广东,学校数:小学:广西,学校数:小学:海南,学校数:小学:重庆,学校数:小学:四川,学校数:小学:贵州,学校数:小学:云南,学校数:小学:西藏,学校数:小学:陕西,学校数:小学:甘肃,学校数:小学:青海,学校数:小学:宁夏,学校数:小学:新疆
首次观测日期,1949,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1949,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1949,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1949,1997,1997,1998,1998,1998,1998,1998,1998,1997,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1997,1998,1998,1998,1998,1998,1998,1998,1998,1998
最后观测日期,2020,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
最后更新时间,09/04/2021,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,09/04/2021,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,09/04/2021,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,09/04/2021,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020,07/07/2020
数列备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
您可以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平均,1086.6944444444443,80.22727272727273,45.77272727272727,95.9090909090909,61.09090909090909,38.40909090909091,93.31818181818181,50.31818181818182,66.81818181818181,58.90909090909091,128.36363636363637,81.22727272727273,91.77272727272727,66.95454545454545,73.31818181818181,111.5909090909091,98.22727272727273,100.31818181818181,98.68181818181819,111.04545454545455,57.72727272727273,14.272727272727273,46.59090909090909,83.27272727272727,44.54545454545455,53.54545454545455,5.363636363636363,76.0909090909091,36.13636363636363,10,13.818181818181818,34.27272727272727,16080.714285714286,307.95454545454544,207.3181818181818,682.0909090909091,512,323.59090909090907,437.1818181818182,268.90909090909093,426.54545454545456,291.1818181818182,718.6818181818181,593.0909090909091,713.0454545454545,553.5909090909091,508.22727272727275,673.8181818181819,828.4545454545455,590.1818181818181,677.3181818181819,999.6363636363636,476.8181818181818,105.63636363636364,270.45454545454544,767.2727272727273,423.3181818181818,452.09090909090907,25.772727272727273,558.0909090909091,433.77272727272725,129,83.5,425.40909090909093,58489.40909090909,384.6818181818182,386.77272727272725,3230.2727272727275,2365.2272727272725,1010.2272727272727,1716.7727272727273,1284.4545454545455,1869.1818181818182,520.7727272727273,2326.590909090909,1917.5454545454545,3034,1339.6363636363637,2171.2727272727275,3335.1363636363635,4939.363636363636,2350.5,3541.2272727272725,3302.090909090909,2130.9545454545455,419.3636363636364,1070.6363636363637,3975.318181818182,2043.8636363636363,1767.8181818181818,90.86363636363636,1894.6818181818182,1516.2727272727273,306.90909090909093,286,1221.409090909091,645301.1944444445,1446.1304347826087,1274.8695652173913,20088.545454545456,19016.272727272728,4888.590909090909,7668.409090909091,6516.045454545455,7575.5,824.4782608695652,8036.909090909091,6168.954545454545,16152.227272727272,8843.181818181818,13559.863636363636,15657.727272727272,30312.409090909092,11650.045454545454,17147.045454545456,17449.590909090908,13688,2603.090909090909,8268.608695652174,17636.090909090908,12530.727272727272,16332.363636363636,854.4090909090909,16087,12972.272727272728,2130.7727272727275,2258.318181818182,4619.590909090909
方差,632474.9757433488,137.23160173160173,160.85064935064935,671.7056277056278,438.8484848484849,168.8246753246753,515.9415584415583,93.37012987012986,289.96536796536793,98.0865800865801,1337.3852813852814,756.469696969697,909.3268398268398,604.1406926406927,627.7510822510822,1233.2056277056276,940.5649350649348,816.1320346320347,830.9891774891776,1355.6645021645022,308.3030303030303,22.969696969696976,265.20562770562765,690.1125541125542,259.68831168831167,360.35497835497836,1.7662337662337664,423.32467532467535,109.45670995670996,4,19.584415584415584,125.16017316017314,74231277.08333334,353.18831168831167,306.13203463203456,7940.943722943723,2581.714285714286,1578.348484848485,485.7748917748917,542.4675324675326,1872.1645021645018,1595.6796536796537,17062.036796536802,431.8961038961039,2248.807359307359,3097.2056277056276,4417.517316017316,11138.82251082251,6355.497835497835,2357.5844155844156,6511.751082251081,1227.5757575757577,1327.965367965368,63.480519480519476,147.59307359307363,662.3982683982683,3421.9415584415588,1280.6580086580084,64.3744588744589,3535.800865800867,1537.2316017316018,528.2857142857143,361.4047619047619,4372.06277056277,460487861.82875264,3260.417748917749,4746.945887445887,694314.7792207792,192017.70779220777,84865.61255411255,28340.850649350643,11623.116883116883,107870.91774891774,910.8506493506495,84028.25324675324,65251.593073593074,24765.619047619046,7902.051948051947,5485.350649350649,157723.6471861472,169352.81385281385,88681.11904761905,68407.80303030304,35624.18181818182,101701.37878787878,742.9090909090909,27190.43290043291,67107.37012987012,40503.83766233766,6559.965367965369,57.551948051948045,33159.94155844157,14132.77922077922,1660.9437229437226,1597.142857142857,31392.25324675325,93487922079.45462,294396.66403162054,480755.3003952569,104262456.64069264,151502282.87445885,11397301.681818182,14542575.205627706,3949308.4264069265,21336290.92857143,58224.98814229249,38066736.27705627,14997768.902597405,39451086.469696976,13107385.584415587,22281115.742424242,46442208.68398268,52329654.72943722,49554769.75974026,105824995.28354979,31415091.491341993,7389299.714285715,918755.7056277056,20386585.24901185,177877907.5151515,13391449.064935068,17990754.813852813,1122.3484848484848,113210487.52380952,27111516.017316017,1040256.4696969698,489355.37012987013,1630488.8246753248
标准差,795.2829532583663,11.714589268583074,12.682690934917927,25.917284342801576,20.948710815906665,12.993254993444687,22.714346973698326,9.662822044833996,17.02836950401793,9.903866925932522,36.57027866157546,27.50399420029202,30.155046672602577,24.579273639403844,25.054961230284956,35.11702760350921,30.668631124732887,28.56802468901262,28.826882895817537,36.819349561942325,17.5585600293142,4.7926711727070295,16.285135176154593,26.269993416682734,16.1148475539892,18.983018157157684,1.3289972784899773,20.574855414429415,10.46215608546871,2,4.4254282938960365,11.187500755761903,8615.757487495417,18.793304969810702,17.49662923628533,89.1119729494512,50.8105725780992,39.72843421088333,22.04030153548022,23.290932408719332,43.26851629261745,39.94595916584873,130.62173171619185,20.782110188720104,47.42159169942906,55.6525437667105,66.46440638429954,105.54062019347106,79.72137627699257,48.55496283166547,80.69542169324777,35.03677721446078,36.44125914352258,7.967466314991202,12.14878897639899,25.737099067266076,58.497363687960835,35.78628240901824,8.023369546173159,59.462600563722965,39.20754521430285,22.984466804468497,19.010648645029498,66.12157568118572,21458.980913099127,57.10006785388043,68.89808333651878,833.255530567172,438.19825169916845,291.31703100593444,168.34741058106786,107.81056016511965,328.4370833948532,30.180302340278992,289.8762723072609,255.44391375327984,157.37095998823622,88.89348653333352,74.06315311509934,397.1443656734251,411.52498569687583,297.7937525328882,261.5488540030391,188.74369345273982,318.9065361322637,27.25635872432506,164.89521794288913,259.0509025845502,201.25565249785572,80.9936131306992,7.586300023855374,182.09871377481383,118.88136616299133,40.754677313698885,39.964269756156654,177.17859138946005,305757.94687866187,542.5833245056657,693.3651998732391,10210.89891442926,12308.626360177599,3375.9889931423327,3813.472853663404,1987.2866995999661,4619.122311497221,241.29854566965895,6169.824655292586,3872.6953020599753,6281.009988027163,3620.4123500529035,4720.287675812168,6814.852066184759,7233.923881921707,7039.514880994305,10287.127649813128,5604.916724746407,2718.3266386300443,958.5174519160856,4515.150634144098,13337.087669920727,3659.4328884316305,4241.550991542223,33.501469890864264,10640.041706864195,5206.8719993212835,1019.9296395815595,699.5393985544132,1276.9059576473612
偏度,0.8347517574113031,-0.7553464456565603,-1.034659285242132,-0.7634219607905373,-0.7906813998350554,-0.3990111216025152,-0.25409010382857,-0.28351743821254993,-0.8058904409945622,-1.173011893328284,-0.5592229387969986,-0.6625521078182,-0.7658607890442864,-0.6208281771104484,-0.5797879232363191,-0.7315446617529088,-0.11288395746610724,-0.48924422857330535,-0.7212523853053483,-0.6251618020674395,-0.661451877185639,-0.9702431842699999,-0.19335418383377356,-0.21496964720803985,0.26008240063121196,-0.31533421087301516,-0.4802382250495025,-0.7197218392869618,-0.5267304159178818,-0.7071428571428572,-0.8385946708645414,-0.14690170377183537,1.8502290183272814,0.08112862748723342,-0.252935830868315,0.22266220980848878,-0.9527205765041897,0.23126097767679943,0.3353512884092523,-0.05401669165146389,-0.21415681946553478,0.1648094103439287,-0.005820474771870902,-0.14338463181292052,0.061953756625632114,-0.6656028975371502,0.8021301713937097,0.39639769735024705,-0.43607108762283153,0.4330439874984523,0.11425367124182792,-2.0041004546419865,0.1639828256377354,0.2946772952748695,0.5717371707256413,-0.08260668514828999,-1.259889058004235,1.1956293012019081,0.3126613506319041,-0.10795205058003289,0.07696448541579667,0.2533726123174257,-0.038241957313913034,0.026927151683743263,-0.9918636735958298,0.8709624139529799,0.858452327961762,0.2310398856190411,-0.0107989139836497,0.2727371457538117,0.24022947372701994,0.5608851905134695,-0.021608279071544462,0.36380226087431966,1.2214053394269144,1.1946626346105214,-0.002385574984455758,0.10047174824819434,0.8846216997408203,0.4416614492867997,0.3976812491564753,0.1585136311626967,0.5382675254528659,0.13645604461763017,0.29388982741338165,0.44833479964356254,0.22090279598686982,0.045676860976806705,-1.521411977659789,0.22195925598505514,-1.0164733208842172,-0.326140373438646,-1.3712479809289826,0.25637392167014283,0.2127616069530495,-0.14498666229462862,0.30720054828124727,1.140485180799605,1.816558628457706,1.2518514942436676,0.43685149786542077,0.7961106640613465,0.47552506162433167,0.27246064765788774,0.12741883663224626,2.0297206018418468,1.5834206771118848,1.572636224959967,0.13282556102515858,0.3863528636951054,0.6639643980883843,1.5413090322979226,0.04628263272790396,0.9860119279320597,1.0306346169683596,-0.16813037106905754,-1.1638481246852637,0.24897230256814065,0.4668964508671816,1.144741530601824,-0.0019858270185444753,0.21457987230496148,-0.17727524099082503,0.5601474478565497,0.3785037641399794,-0.12832434663135148,0.3347214408582014,0.6530706953715328
峰度,-0.5407355606701794,-0.89885471474153,-0.19531714137328438,-0.7023517153326564,-0.7983063063775204,-1.3524500759403977,-1.9359506664088733,-1.582789243717086,-0.9573607813904927,0.08867814187421841,-1.2484126654474998,-1.0890244106991678,-0.8311521780821876,-1.4389667183141688,-1.077940803909815,-0.9079271139844978,-1.4870853463438038,-1.4767911534123743,-1.1379292125668528,-1.030117479713161,-1.1482375315229936,-0.2269369443547462,-1.6177036843487234,-1.1940541580450046,-0.8344926925394138,-1.2730046964501454,-1.174772354762338,-1.1305484353906876,-0.7965774184090182,-0.5806390977443607,-0.14983051905033573,-0.9374418946193117,5.627967614445328,-1.127923874141683,-1.3685611974269958,-1.360361064538778,1.2795544152640321,-1.6020771292120843,-1.536569505206791,-1.9469844599679047,-1.7111903261892065,-1.8910606108607073,-1.9159005888142664,-1.5171721611730338,-1.3599722930813396,0.37048809071342825,-0.640989339990611,-1.2423937404288448,0.05123611038887699,-0.7910883119806571,-1.5581168290361815,3.387757991586115,-1.1085603521504424,0.4441870075054637,-1.0693911387959156,-1.2770366505997544,0.18619191635093424,1.3251266721742292,-0.11515995128462952,-1.3669299945323936,-1.0591483837299593,-1.2829489005679258,-1.9924834052188474,-1.849807294899196,2.2419266400929367,-0.8803289918583403,-0.6550863726366534,-1.8516942564909107,-1.7209375477508517,-1.7518666106841292,-1.451568600030814,-1.3886963507098953,-1.6289530506013439,-0.5395369905151668,0.050564831025871726,0.09924551030789797,-1.306302126079923,-1.6650762209240806,-0.35883535900885244,-1.5583395534641786,-1.7139871312054018,-1.79165244032774,-1.5828961083368536,0.07994319348292356,-1.600477475873197,-1.322482430377542,-1.4789388018301604,-1.128808917279534,1.2810601104715706,-1.0176996477846294,0.4137345308804936,-1.4833114103608178,1.1599347340683126,-1.7619320612262335,-1.6260066538782403,-0.8986367220048952,0.3266053321780138,0.06943706627669544,1.8462695484134324,0.5439441437950503,-1.3720203035250824,-0.8408069963919802,-1.3238410934340337,-1.211326264613438,-1.3112049535877275,3.414067702599505,1.1335931823823593,1.8047581647507664,-1.3913027528723956,-1.487053421544963,-0.2518875318040634,1.8630055671057475,-0.8812856056106764,-0.339882321337885,-0.1881475585130663,-1.673068363386794,0.22091440758745806,-1.085473200606303,-1.1194839697624746,0.2140839151013938,-0.7093618726967761,-1.4730002036831622,-1.6522210895396054,-1.1623914832803441,-0.5754100611775126,-1.6950395491192918,-0.7523681874887784,-1.221885299866821
变异系数,0.7318367709746988,0.14601754329112046,0.2770796430667273,0.27022760926143824,0.3429104449032341,0.33828592882341196,0.2434075174970108,0.19203440378170544,0.25484634631863573,0.1681211978167558,0.2848959385816785,0.3386054126504893,0.32858396572424803,0.36710388327690746,0.341729167431041,0.314694341049777,0.3122211405572066,0.2847741473304385,0.29211949502901235,0.33157007382837944,0.30416403200386805,0.3357922477692823,0.34953460865892777,0.31546935325710707,0.3617618838650637,0.35452156150888714,0.24777915361677544,0.270398338779837,0.28951878475510895,0.2,0.3202612581108974,0.3264257514943792,0.535782014058259,0.06102623016027091,0.0843950544175131,0.13064530220497977,0.0992393995666,0.12277364133156808,0.05041449716994852,0.08661266277752286,0.1014394030730588,0.1371856231109385,0.1817518245371084,0.03504034519863904,0.06650570646952504,0.1005300897337738,0.1307769377027627,0.1566307099471373,0.09622902875528566,0.08227119395383858,0.11913960655334882,0.035049522495368184,0.07642590096830283,0.07542351933296318,0.0449198920135761,0.03354361252842735,0.13818769474231057,0.07915727056086883,0.311312398616948,0.10654644179849367,0.09038729903747907,0.1781741612749496,0.22767243886262872,0.1554305657640865,0.36688660813354773,0.14843453772720896,0.17813583657344145,0.2579520681124276,0.1852668691723207,0.2883678147190352,0.09806039431235916,0.08393489714886519,0.17571168315468044,0.057952924106322586,0.12459271252827468,0.13321400707751757,0.05186913644964938,0.0663564299583787,0.03411047916036228,0.11907889884310788,0.08331538554222359,0.12669378963322195,0.07385825135182796,0.05715884227569689,0.1496543118728227,0.0649945688201985,0.1540160819709417,0.06516482221960626,0.09846823874019407,0.045815578753352425,0.08349104578530177,0.09611044557843496,0.07840368294219704,0.13279071399605677,0.13973520893761068,0.14506080944394034,0.4738220686882446,0.3751966706842943,0.5438714820641327,0.5082945869591982,0.6472680812220806,0.6905852946018217,0.497296480724311,0.30498355382307485,0.6097448764434322,0.29266817225133973,0.7676862566818818,0.6277717356360623,0.38886339833965367,0.4094015507641423,0.34810731157750885,0.43523890456662323,0.23864562728177263,0.6042478467968315,0.5999358709978894,0.3212061964058052,0.19859195197472562,0.3682228110315339,0.5460592948990644,0.7562383148663536,0.2920367516414047,0.2597022137137889,0.03921010467622567,0.6614062104099083,0.40138471559994476,0.47866655440395733,0.30976122150830443,0.27641104651377973
最小,181,58,20,46,23,18,61,34,35,37,66,32,34,28,31,47,51,54,47,43,28,5,22,42,20,24,3,39,17,6,5,16,1181,275,180,563,379,272,412,239,366,243,564,561,635,427,435,544,643,531,575,900,415,91,255,726,304,407,15,471,376,101,61,336,2448,335,316,2367,1762,683,1517,1172,1418,477,2066,1712,2800,1238,2082,2891,4515,2011,3296,2979,1743,387,860,3538,1567,1668,73,1601,1245,260,235,870,158000,941,838,11545,5312,1655,2976,3740,1431,615,4020,3269,7792,5141,7330,9646,18117,5378,7245,10126,8036,1376,2860,5721,6943,10789,805,4640,5444,724,1188,3368
最大,2738,93,57,122,83,53,116,62,82,68,167,108,120,90,103,146,141,129,125,154,78,20,65,126,72,81,7,98,49,12,19,54,49215,338,232,816,589,381,476,297,481,344,895,622,786,636,642,862,955,689,800,1031,537,124,293,809,485,547,45,641,497,171,107,517,113130,502,533,4346,2916,1432,1992,1471,2313,584,2975,2525,3301,1475,2336,3966,5565,2782,3963,3712,2622,466,1325,4392,2216,1943,101,2130,1660,367,345,1467,1681939,2696,3030,45343,39249,11614,14084,9879,15193,1533,23213,16922,26453,14824,23389,34480,41404,26369,39332,24724,16182,4249,16261,46092,19102,23249,899,34634,22634,3465,3580,6837
中位数,1018,85.5,55,107,70,40,105.5,55,78,64,147,98.5,105,82.5,83.5,125.5,96.5,119,115,125,68,16.5,48.5,91,46,60,6,88.5,39,11,15,37,14607,305.5,211.5,669,511.5,315,430.5,270,437.5,278,723.5,597.5,713.5,544,478,654.5,822,584,685.5,1012,466,105.5,267.5,771.5,446.5,445,27,562.5,435.5,132,87.5,428.5,62882,348,359,3029.5,2371.5,928.5,1696.5,1231,1863.5,520.5,2216.5,1777,3077.5,1341.5,2143.5,3181,4756.5,2315.5,3377.5,3312.5,2047,408,1047,3936,2138,1801.5,93,1945.5,1557,295,278.5,1212,668501.5,1202,993,15326,15944.5,3372,6512,6317,7672,757,5123,4282,15545,8207.5,12955.5,13180.5,29817,8923,13596,18888.5,14440,2630.5,7575,13215,12984.5,16199.5,858.5,12884,13030.5,2301.5,2166.5,3905
观测次数,72,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,49,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,44,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,72,23,23,22,22,22,22,22,22,23,22,22,22,22,22,22,22,22,22,22,22,22,23,22,22,22,22,22,22,22,22,22
1949,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,777000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,1289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1066000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1681939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
